strategy_id,strategy_name,family,runs,eligible_runs,median_profit_factor,median_sharpe,median_max_drawdown,median_gross_return,median_total_return,median_cost_drag,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,median_avg_gross_exposure,total_trades,two_leg_runs,spread_runs
2,ZScore + ECM,hybrid,14,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0
4,ECM + Copula + ZScore,hybrid,14,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0
8,Pure ECM,ecm,14,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0
9,ECM Leadership,ecm,14,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0
10,Leader/Follower Prediction,ecm,14,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0
12,Hurst Filter,mean_reversion,14,0,inf,0.0,0.0,0.0,0.0,0.0,0.03875,0.0372,0.37440000000000007,0.0186,0.0006200000000000001,0.0,34,14,0
13,Hurst + Half-Life,mean_reversion,14,0,inf,0.0,0.0,0.0,0.0,0.0,0.03875,0.0372,0.37440000000000007,0.0186,0.0006200000000000001,0.0,34,14,0
18,Composite Quant Score,composite,14,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0
19,Weighted Voting Model,composite,14,0,inf,0.0,0.0,0.0,0.0,0.0,0.16875,0.162,0.39986666666666676,0.081,0.0027,0.0,138,14,0
25,Pair Ranking Strategy,portfolio,14,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0
26,Portfolio Rotation,portfolio,14,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0
27,Risk Adjusted Ranking,portfolio,14,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0
29,Copula Risk Filter,copula,14,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0
31,Feature Importance Model,ml,14,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0
32,Trade Outcome Predictor,ml,14,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0
36,Copula + ECM Strategy,hybrid,14,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0
14,OU Optimal,mean_reversion,14,0,0.3286884409897622,-1.998622732789995,0.07685069097973754,-0.019403430751951833,-0.03235602235028523,0.017544242712411395,0.19625,0.1884,0.4032669098950911,0.0942,0.00314,0.9795918367346939,164,14,0
15,ML Confidence,ml,14,0,0.32253854908899937,-2.1123466823572796,0.07833278017082636,-0.02096512360448677,-0.03317237376661175,0.017544242712411395,0.19125,0.1836,0.4032669349984467,0.0918,0.0030600000000000002,0.9897959183673469,160,14,0
24,Regime Filtered Stat-Arb,regime,14,0,0.2828292943104147,-1.4719255012774606,0.049141770512717786,-0.01672718178689414,-0.02440218309252956,0.0074512525981656474,0.14625000000000002,0.14040000000000002,0.37454202893864597,0.07020000000000001,0.00234,0.96484375,122,14,0
17,Proprietary Signal Stack,composite,14,0,0.26455054798270083,-1.31099425436979,0.05113459052235039,-0.006726542531891755,-0.02887171033996211,0.01221847780918911,0.16625,0.15960000000000002,0.4032631883226363,0.07980000000000001,0.00266,0.9795918367346939,140,14,0
11,Half-Life Optimized,mean_reversion,14,0,0.2618992898954751,-2.1449765727069536,0.06249738045799598,-0.023951526692009395,-0.041553574954891925,0.012067856863080373,0.17125,0.1644,0.40242844920139426,0.0822,0.0027400000000000002,0.974,144,14,0
22,GMM Regime Model,regime,14,0,0.25845840364161554,-1.3969418399629356,0.04600638901172249,-0.014222647690137813,-0.019494227624783422,0.005271579934645609,0.11125,0.1068,0.3977151612704276,0.0534,0.0017800000000000001,0.9758745476477684,96,14,0
1,Classic ZScore Mean Reversion,zscore,14,0,0.2500836682924489,-1.8975288807916315,0.06954126456171647,-0.019802674920036845,-0.035954027585583914,0.012017495019113755,0.16625,0.15960000000000002,0.40178366442350216,0.07980000000000001,0.0026600000000000005,0.9819059107358263,140,14,0
3,ZScore + Copula,hybrid,14,0,0.2500836682924489,-1.8975288807916315,0.06954126456171647,-0.019802674920036845,-0.035954027585583914,0.012017495019113755,0.16625,0.15960000000000002,0.40178366442350216,0.07980000000000001,0.0026600000000000005,0.9819059107358263,140,14,0
21,HMM Regime Model,regime,14,0,0.23456812114873787,-1.9674045803742932,0.04734033783949669,-0.032945506150126036,-0.041324893491904824,0.00635834951778147,0.11875000000000001,0.114,0.4010181446593903,0.057,0.0019000000000000002,0.9758745476477684,102,14,0
30,Meta Model,ml,14,0,0.22904056282462007,-2.0465876517632386,0.07423147091367836,-0.01660667382932912,-0.03129435299886729,0.01752600192867293,0.19625,0.1884,0.403266351345431,0.0942,0.00314,0.9795918367346939,164,14,0
23,KMeans Regime Model,regime,14,0,0.22558291393197125,-1.7032854840174643,0.046006389011722104,-0.017342175072674437,-0.019491219948708005,0.005443893588198578,0.11125000000000002,0.1068,0.40161699775683546,0.0534,0.0017800000000000001,0.9758745476477684,96,14,0
